item,price
شاي رويال كلوب تخسيس خيط 40 جرام,SR 16.75 ريال
شاي تويننجزصيني اخضر نعناع200حبة,SR 41.95 ريال
شاي هالي كيس 100حبه,SR 9.40 ريال
شاي ليبتون خيط 50حبة,SR 9.95 ريال
شاي ربيع خيط اكسبريس 100حبة,SR 18.95 ريال
شاي ليبتون اخضر بنعناع خيط 25ح,SR 7.50 ريال
قهوة سيتي كافية زجاج 200جرام,SR 24.10 ريال
قهوة نسكافه ريد مق زجاج 100جرام,SR 19.90 ريال
قهوة نسكافيه زجاج 200جرام,SR 29.95 ريال
قهوة نسكافه لاتيه 18 جرام,SR 4.90 ريال
قهوة نسكافه كلاسيك 200 جرام,SR 18.95ريال
قهوة نسكافه كلاسيك 100 جرام,SR 11.95 ريال
قهوة نسكافه كلاسيك 50 جرام,SR 7.75 ريال
قهوة العثيم سريعة التحضير 100جرام,SR 11.03 ريال
قهوة العثيم سريعة التحضير 200جرام,SR 17.80 ريال
قهوة تشيبو قولد 100جرام,SR 18.85 ريال
قهوة تشيبو قولد 200جرام,SR 33.08 ريال
قهوة مكاتي كلاسيك اكسترا 160 جرام,SR 16.95 ريال
قهوة كروجر جولد 100جرام,SR 22.95 ريال
قهوة كروجر جولد بلا كافيين 100 جرام,SR 26.20 ريال
قهوة نسكافه جولدن بلند 100جرام,SR 21.95 ريال
قهوة نسكافه جولد بلا كافيين 100 جرام,SR 25.95 ريال
قهوة نسكافه جولدن بلند 50جرام,SR 13.95 ريال
قهوة روستا داكنة 1كيلو,SR 7.95 ريال
خلطة القصيم للقهوة 125جرام,SR 6.50 ريال
خلطة القصيم للقهوة 250جرام,SR 12.50 ريال
خلطة القصيم للقهوة 500جرام,SR 23.75 ريال
قهوة نجار كلاسيك بالهيل 450جرام,SR 30.95 ريال
قهوة نجار كلاسيك 450جرام,SR 30.95 ريال
قهوة النجار كلاسيك غامق 200جرام,SR 17.50 ريال
قهوة نجار كلاسيك بالهيل 200جرام,SR 17.50 ريال
قهوة الرفاعي تركية 250جرام,SR 17.80 ريال
قهوة يمني خولاني 5كيلو,SR 159.00 ريال
كابتشينو كلاسنو 100 جرام,SR 24.95 ريال
كابتشينو كلاسينو 100 جرام,SR 24.95 ريال
كابتشينو كلاسنو كريمه ايرلنديه 100 جرام,SR 24.95 ريال
كابتشينو كلاسنو 100 جرام,SR 24.95 ريال
كابتشينو كلاسنو قولد 100 جرام,SR 24.95 ريال
كابتشينو كروجر كلاسيك 100 جرام,SR 11.95 ريال
كابتشينو كروجر شوكولاته 100 جرام,SR 11.95 ريال
"قهوة نسكافه فانيليا 10×18,5جرام",SR 3.70 ريال
قهوة علي كافية كلاسيك 3 في 1 20 جرام,SR 1.50 ريال
قهوة علي كافية3×1كيلو,SR 34.95 ريال
قهوة نسكافه 3×1 اصابع 20جرام,SR 1.23 ريال
مبيض قهوة سيتي كريمة 400جرام,SR 13.13 ريال
مبيض نستله كوفي ميت كريمة 170جرام,SR 8.55 ريال
مبيض نستله كوفي ميت 2×450جرام,SR 29.35 ريال
مبيض نستله كوفي ميت ناعم 400جرام,SR ريال 14.95
شراب نتروفود كافيه,SR 14.65 ريال
قهوة نسكافه جولدن بلند 200جرام,SR 39.95 ريال
مبيض قهوة كروجر 400جرام,SR 13.95 ريال
قهوة زدني جولد زجاج 50جرام,SR 7.50 ريال
قهوة دافيدوف نكهة ناعمة 100جرام,SR 28.25 ريال
قهوة دافيدوف اسبريسو لايت 100جرلم,SR 28.25 ريال
شاىليبتون اخضرليمون وزنجبيل15حبة,SR 10.45 ريال
شاى ليبتون اخضرفواكة استوئية 15حبة,SR 9.95 ريال
شاي لويد جولد خيط 75حبة,SR 10.00 ريال
شاي برميد حمضيات خيط 20حبة,SR 5.50 ريال
قهوة انستانت 3×1 10×18جرام,SR 5.95 ريال
شاي ليبتون اخضربالليمون خيط25حبه,SR 7.50 ريال
شاي الركن المغربي اخضر خيط 25حبه,SR 8.93 ريال
شاى الركن المغربى اخضر خيط 50حبه,SR 16.54 ريال
شاي ربيع اخضر خيط 25حبه,SR 6.25 ريال
قهوة الخير لقمتي باشنفر 5كيلو,SR 102.90 ريال
قهوة باشنفر هرري 10كيلو,SR 310.00 ريال
شاي الوزة اخضر خيط 100حبة,SR 11.95 ريال
شاي شواهي توقايين اخضر 150جرام,SR 26.50 ريال
شاي تويننجز اخضر مع نعناع 200جرام,SR 33.95 ريال
شاي تويننجز ايرل جراي معطر 100جرام,SR 31.45 ريال
شاي الضيافة رشاقة ونعناع 40جرام,SR 27.25 ريال
شاي الضيافة رشاقة يانسون 20حبه,SR 27.25 ريال
شاي رويال كلوب ينسون 25حبه,SR 9.19 ريال
معمول هالي بالتمر 16 * 21 جم,SR 3.25 ريال
بسكويت امريكانا كوكيز ازرق454جرام,SR 21.50 ريال
شابورة امريكانا بني 375جرام,SR 6.50 ريال
ويفر هاي فيبر فراولة 27جرام,SR 4.25 ريال
بسكويت امريكانا كوكيز ازرق908ج,SR 39.25 ريال
شابورة امريكانا دايت 350جرام,SR 6.95 ريال
شابورة هرفي بر بالنخالة 375جرام,SR 6.25 ريال
شابورة تسالي قراميش بر 375جرام,SR 6.95 ريال
شابورة الرشاقة قمح 420جرام,SR 7.95 ريال
بسكويت مكفتز دايجيستف لايت 400جرام,SR 12.55 ريال
كب كيك هالي شوكولاتة24×28جرام,SR 10.50 ريال
تين مجفف تاتكو 200جرام,SR 4.95 ريال
ماش اخضر مجروش,SR 10.75 ريال
دقيق ابيض 2كيلو,SR 3.68 ريال
دقيق كويتي 1كيلو,SR 3.95 ريال
دقيق ابيض فاخر 1كيلو,SR 2.05 ريال
دقيق ابيض فاخر 10كيلو,SR 13.00 ريال
دقيق البيكر حبة قمح الكاملة 6كيلو,SR 20.95 ريال
دقيق بر اسمر 2كيلو,SR 3.10 ريال
دقيق بر فاخر 10كيلو,SR 13.00 ريال
سكر النحلة قوالب 1كيلو,SR 13.95 ريال
