item,price
صلصة باربكيو فرشلي عسل 510 جرام,SR 8.95 ريال
خل فرشلي ابيض 946مل,SR 7.30 ريال
كاتشب طماطم السعودية 567 جرام,SR 7.50 ريال
عصير ليمون فرشلي مركز 946مل,SR 10.45 ريال
متبل السوسن باذنجان مشوي 700 جرام,SR 12.55 ريال
كاتشب طماطم العلالي 585 جرام,SR 11.03 ريال
كاتشب طماطم العلالي 1050 جرام,SR 14.95 ريال
كاتشب طماطم بيدر 2 كيلو,SR 14.95 ريال
"كاتشب طماطم هينز 1,02 كيلو",SR 16.28 ريال
"كاتشب طماطم هاينز 1,07 كجم",SR 23.90 ريال
كاتشب طماطم هاينز 397 جرام,SR 10.95 ريال
كاتشب طماطم رنا 3 كيلو,SR 15.75 ريال
كاتشب طماطم شوفي ضغاط 300 جرام,SR 4.50 ريال
كاتشب طماطم زدني 340 جرام,SR 2.95 ريال
مايونيز مازولا برطمان 250 مل,SR 6.83 ريال
مايونيز مازولا ضغاط 340 مل,SR 9.95 ريال
مايونيز شوفي ضغاط 280مل,SR 4.75 ريال
صلصة فرشلي ثاوزند ايلاند 237مل,SR 8.35 ريال
صلصة فرشلي رانش 237مل,SR 7.95 ريال
طحينة التاج سائلة 500 جرام,SR 15.82 ريال
صلصة بيتزا حدائق امريكا زجاج 397 جرام,SR 8.95 ريال
صلصة بيتزا حدائق امريكا علب 425 جرام,SR 5.50 ريال
صلصة بيتزا فرشلي 680 جرام,SR 12.95 ريال
صلصة صوص فرشلي ورشستر 295مل,SR 6.50 ريال
خل رنا تفاح 474مل,SR 4.10 ريال
عصيرليمون حدائق فيكتوريا مركز500مل,SR 9.98 ريال
مايونيز فرشلي خفيف 340 مل,SR 10.45 ريال
مايونيز فرشلي حفيف 453 مل,SR 9.40 ريال
مايونيز قودي لايت 237 مل,SR 8.35 ريال
مايونيز قودي لايت 473 مل,SR 12.08 ريال
مايونيز قودي خفيف 946مل,SR 15.50 ريال
مايونيز قودي لايت 326 مل,SR 12.08 ريال
صلصة مكرونة العلالي بالفلفل 370 جرام,SR 8.35 ريال
صلصة اسباكتى فرشلى بالجبنة 680 جرام,SR 12.55 ريال
صلصة سلطة هيرمان ثاوزند 237مل,SR 2.95 ريال
مايونيز هيرمان بالثوم 473مل,SR 6.95 ريال
مايونيز هيرمان مع كاتشب 473مل,SR 4.75 ريال
مايونيز هيرمان لايت 473مل,SR 5.95 ريال
مايونيز هيرمان ضغاط 500جرام,SR 6.50 ريال
مايونيز هيرمان 946مل,SR 7.95 ريال
صلصة سلطة هيرمان ايطالية 237مل,SR 2.95 ريال
خردل هيرمان روبوت 255مل,SR 2.95 ريال
كاتشب طماطم هيرمان زجاج 340جرام,SR 2.95 ريال
كاتشب هيرمان حار مع ثوم 340جرام,SR 1.75 ريال
شطة هيرمان حارة 88مل,SR 0.95 ريال
خل هيرمان ابيض 473مل,SR 2.50 ريال
معجون طماطم هيرمان 250جرام,SR 1.95 ريال
صلصلة سمك مكاتي باتيسمنسي750مل,SR 7.30 ريال
مايونيز قودي بالليمون 473مل,SR 11.95 ريال
طرشي بيدر خيار 1 كيلو,SR 12.55 ريال
خل هالي ابيض 473مل,SR 1.50 ريال
مايونيز هالي 236مل,SR 2.00 ريال
صلصة صويا مكاتي فول 750مل,SR 7.30 ريال
معجون زنجبيل شان 310 جرام,SR 8.93 ريال
كاتشب طماطم تيفاني 525 جرام,SR 5.50 ريال
مايونيز نور 946مل,SR 11.95 ريال
خل قودي ابيض 980مل,SR 4.95 ريال
طرشي بيدر خيار 3200 جرام,SR 35.65 ريال
مايو-تشب مازولا 750مل,SR 15.70 ريال
مايونيز مازولا برطمان 500مل,SR 9.98 ريال
صلصة فرشلي بالخلطة الروسية 370 جرام,SR 8.35 ريال
صلصة باربكيو فرشلي اصلي 510 جرام,SR 8.95 ريال
كاتشب طماطم السعودية 800 جرام,SR 10.95 ريال
كاتشب طماطم هالي 2+1 340جرام,SR 8.50 ريال
زيتون بيراك اخضر 720مل,SR 12.75 ريال
صلصة فرشلي سباغتي بالمشروم 680 جرام,SR 12.55 ريال
طرشي حدائق شتورة خيار 1 كيلو,SR 11.50 ريال
خردل فرشلي 255 جرام,SR 4.50 ريال
مايونيز فرشلي 473مل,SR 10.77 ريال
خل رنا ابيض صناعي 474مل,SR 2.50 ريال
صلصة فرشلي فرنسية 473مل,SR 13.60 ريال
كاتشب طماطم هاينز 513 جرام,SR 6.95 ريال
صلصة مكرونة العلالي بالزيتون 370جرام,SR 8.35 ريال
ورق عنب حدائق شتورة 1 كيلو,SR 19.90 ريال
صلصة بيتزا العلالي بالفلفل 370 جرام,SR 10.45 ريال
كاتشب طماطم هالي 340 جرام,SR 2.50 ريال
طرشي بيدر قتة 1000 جرام,SR 13.60 ريال
شطة هالي حارة 473مل,SR 3.75 ريال
لوبيا سوداء مكاتي مملحة 227 جرام,SR 5.78 ريال
شطة تباسكو فلفل اخضر 150مل,SR 22.00 ريال
كاتشب طماطم هاينز 340 جرام,SR 5.78 ريال
صلصة بيدر بيتزا 3 كيلو,SR 29.35 ريال
عصير فرشلي الليم مركز 443مل,SR 8.93 ريال
صلصة الورشستير فرشلي لايت 295مل,SR 7.62 ريال
خل قودي ابيض 473مل,SR 2.75 ريال
مايونيز مازولا فلفل حار 750مل,SR 15.70 ريال
صلصة سلطة فرشلي فرنسية 453 جرام,SR 15.70 ريال
مايونيز قودي 946مل,SR 13.30 ريال
شطة تباسكو فلفل 60مل,SR 10.45 ريال
شطة تباسكو فلفل اخضر 60مل,SR 10.45 ريال
مايونيز هالي 473مل,SR 7.95 ريال
مخلل ثوم شان 320 جرام,SR 10.45 ريال
خل بيدر ابيض 473مل,SR 2.65 ريال
تتبيلة 1000 ايلاند ديليسيو237 مل,SR 7.95 ريال
مايونيز قودي 237مل,SR 7.95 ريال
شطة هالي حارة 176مل,SR 1.95 ريال
عصيرليمون حدائق فيكتوريا مركز280مل,SR 6.83 ريال
مايو-تشب مازولا 340مل,SR 10.45 ريال
شطة تباسكو فلفل 150مل,SR 22.00 ريال
مايونيز قودي بالثوم 473مل,SR 11.95 ريال
شطة هالي حارة 88مل,SR 0.95 ريال
كاتشب طماطم هاينز 200 جرام,SR 3.75 ريال
خل بيدر قصب سكر طبيعي 980 مل,SR 5.30 ريال
شطة تباسكو بالثوم 60مل,SR 10.45 ريال
خل فرشلي تفاح 427مل,SR 4.15 ريال
صلصة صويا مكاتي كلاسيك 500مل,SR 5.78 ريال
مخلل ليمون شان 320 جرام,SR 7.50 ريال
شطة رنا حارة جدا 88مل,SR 3.80 ريال
طرشي بيدر مشكل 190 جرام,SR 3.94 ريال
ورق عنب حدائق امريكا 454 جرام,SR 26.20 ريال
مخلل مشكل شان 320 جرام,SR 7.50 ريال
عصير يمامة ليمون مركز 1000مل,SR 6.25 ريال
مخلل منجا شان 320 جرام,SR 7.50 ريال
خردل قودي 255 جرام,SR 3.25 ريال
