item,price
____ ____ _____ 250__,SR 1.57 ____
____ __ ___ _____ 250__,SR 1.57 ____
____ ______ _____ 200__,SR 1.58 ____
____ _______ _____ 150__,SR 0.75 ____
____ __ ___ _____ 125__,SR 0.79 ____
____ ______ ____ 200__,SR 1.58 ____
____ _____ _____ _____ 250__,SR 0.95 ____
_____ _________ _____ 250__,SR 1.50 ____
____ __ __ __ ______ 1___,SR 9.37 ____
____ __ __ __ ______ 200__,SR 1.95 ____
____ _______ _____ _____ 150__,SR 0.79 ____
____ __ __ __ ______ 200__,SR 1.15 ____
____ _____ ___ _____ 180__,SR 1.57 ____
____ _____ _______ 5 _______ 180__,SR 1.57 ____
____ ____ _____ ____ 200__,SR 1.57 ____
____ _______ ______ ____ 1.75___,SR 15.75 ____
____ _______ _____ _____ 300__,SR 3.00 ____
____ ____ ______ ____ 300__,SR 3.15 ____
____ ____ _____ ____ 300__,SR 3.15 ____
____ _______ ____ ____ 300__,SR 2.00 ____
___ __ ______ ___ 330__,SR 3.00 ____
___ __ ______ _____ 330__,SR 3.00 ____
___ __ ______ _____ 230__,SR 3.00 ____
___ __ ______ _____ ____ 320__,SR 3.00 ____
____ _____ ____ ____ 300__,SR 3.68 ____
____ _____ ___ ____ 300__,SR 3.68 ____
____ _____ ____ ____ 300__,SR 3.68 ____
____ _____ ____ ____ 300__,SR 3.68 ____
____ _____ ___ ____ ____ 300__,SR 3.68 ____
____ _________ ______ ____300__,SR 3.00 ____
____ ____ ___ ____ 900__,SR 14.95 ____
____ ____ ____ ____ 250__,SR 4.95 ____
____ ____ ____ ____ 900__,SR 15.75 ____
____ ____ ___ ____ 900__,SR 14.95 ____
____ _______ ____ _____ 250__,SR 1.00 ____
____ ____ ____ ____ 200__,SR 1.58 ____
____ ______ ____ 250__,SR 1.75 ____
____ _______ _____ _____ 250__,SR 1.00 ____
____ ____ _____ 4.1___,SR 7.79 ____
____ ________ _____ 4.1___,SR 5.95 ____
____ _______ _____ ______ 250__,SR 1.00 ____
____ ____ _____ 1.5___,"SR 
                    5.50                 ____ SR 
                    4.95                 ____"
____ ____ _____ ____ 200__,SR 1.58 ____
____ ____ _____ ______ 180__,SR 1.58 ____
____ ____ _____ ______ 240__,SR 2.15 ____
____ _____ _____ 125__,SR 0.63 ____
____ ______ _____ 250__,SR 1.75 ____
____ ______ _____ 1___,SR 8.75 ____
____ _____ ____ 125__,SR 0.63 ____
____ ____ ______ ______ 240__,SR 2.15 ____
____ ________ ______ 4.1___,SR 7.00 ____
____ _______ ______ 250__,SR 1.00 ____
____ _________ ___ _______ 1.4___,SR 7.00 ____
____ ______ ___ ____ 330__,SR 3.15 ____
____ ______ ___ ____ 1___,SR 8.75 ____
____ _______ ___ ______ 250__,SR 1.00 ____
____ ____ ___ ______ ___ 240__,SR 2.15 ____
____ ____ _____ _____ 1___,SR 7.95 ____
_____ __ __ __ _____ 1___,SR 9.37 ____
_____ __ __ __ _____ 200__,SR 1.95 ____
_____ ______ _____ 330__,SR 2.00 ____
____ ____ ___ ______ ____250__,SR 3.15 ____
____ ____ ___ _ ______ 330__,SR 2.95 ____
____ ____ ___ ______ _____ 1___,SR 7.95 ____
____ ____ ___ _______ ____ 1___,SR 7.95 ____
_____ ______ ____ ______ 200__,SR 1.58 ____
____ __ __ __ ______ 1___,SR 7.30 ____
____ ______ ______ 1___,SR 8.00 ____
____ ______ ___ 1___,SR 8.00 ____
____ ____ ______ ___ 2.5 ____,SR 38.59 ____
____ ___ ______ 200__,SR 1.50 ____
____ _______ ______ 300__,SR 3.00 ____
"____ ___ ___ _____ _______1,75___","SR 
                    9.00                 ____ SR 
                    6.95                 ____"
____ ____ ______ _____ 200__,SR 1.57 ____
____ ____ ______ _______ 200__,SR 1.57 ____
____ ____ ___ ____ 1___,SR 4.95 ____
"____ ______ ___ ____ 1,75___",SR 12.60 ____
____ _______ ___ ____ 300__,SR 2.00 ____
____ ___ ______ ____ 300__,SR 2.00 ____
____ ___ _____ __ ____ 1.75 ___,"SR 
                    9.00                 ____ SR 
                    6.95                 ____"
"____ _______ _____ _____ 1,75___",SR 12.60 ____
"____ _______ ____ ______ 1,75___",SR 12.60 ____
____ _______ ____ ______ 300__,SR 3.00 ____
